hhid14_9,edu_level,pidlink
9144100,,9140003
9144100,,9140003
9144100,,9140003
9140004,4,9140004
9140004,,9140004
9140004,,9140004
9140004,,9140004
9140000,1,9140005
9140000,2,9140005
9140000,3,9140005
9140000,4,9140005
9140006,1,9140006
9140006,2,9140006
9140006,3,9140006
9140006,4,9140006
9140000,1,9140007
9140000,2,9140007
9140000,3,9140007
9140000,1,9140008
9140000,2,9140008
9140000,3,9140008
9153100,1,9150008
9153100,2,9150008
9153100,3,9150008
9170007,1,9175202
9170007,2,9175202
9183100,1,9183104
9183100,2,9183104
9183100,3,9183104
9183100,1,9183105
9183100,2,9183105
9193100,1,9190003
9193100,2,9190003
9193100,3,9190003
9193100,1,9193104
9193100,2,9193104
9193100,3,9193104
9194200,1,9194206
9194200,2,9194206
9194200,3,9194206
9200003,1,9200003
9200003,2,9200003
9200003,3,9200003
9200003,4,9200003
9200007,1,9200007
9200007,2,9200007
9200007,3,9200007
9200007,4,9200007
9200000,1,9200008
9200000,2,9200008
9200000,3,9200008
9200003,1,9205201
9200003,2,9205201
9200003,3,9205201
9200003,4,9205201
9210005,1,9210005
9210005,2,9210005
9210000,1,9210010
9210000,2,9210010
9210000,3,9210010
9210003,1,9215102
9210003,2,9215102
9220003,3,9220003
9220003,,9220003
9220003,,9220003
9220006,1,9220006
9220006,2,9220006
9220006,3,9220006
9220006,4,9220006
9220000,1,9220007
9220000,2,9220007
9220000,3,9220007
9220008,1,9220008
9220008,2,9220008
9220008,3,9220008
9220003,1,9225102
9220003,2,9225102
9220003,3,9225102
9234100,4,9230003
9234100,,9230003
9234100,,9230003
9234100,,9230003
9234200,4,9230004
9234200,,9230004
9234200,,9230004
9234200,,9230004
9230005,3,9230005
9230005,4,9230005
9230005,,9230005
9230005,,9230005
9230000,3,9230006
9230000,4,9230006
9230000,,9230006
9230000,,9230006
9230000,1,9230009
9230000,2,9230009
9230000,3,9230009
9234100,1,9234102
9234100,2,9234102
9234100,3,9234102
9244100,1,9240005
9244100,2,9240005
9244100,1,9240006
9244100,2,9240006
9244100,3,9240006
9260000,1,9260008
9260000,2,9260008
9260000,3,9260008
9280000,1,9280007
9280000,2,9280007
9280000,3,9280007
9294200,1,9294203
9294200,2,9294203
9294200,3,9294203
10053100,4,10050005
10053100,,10050005
10053100,,10050005
10053100,,10050005
10052200,4,10050007
10052200,,10050007
10052200,,10050007
10052200,,10050007
10053100,1,10052103
10053100,2,10052103
10053100,3,10052103
10053100,4,10052103
10060005,4,10060005
10060005,,10060005
10060005,,10060005
10060005,,10060005
10064200,3,10060006
10064200,4,10060006
10064200,,10060006
10064200,,10060006
10060005,1,10065101
10060005,2,10065101
10070006,1,10070006
10070006,2,10070006
10070006,3,10070006
10070007,1,10070007
10070007,2,10070007
10080005,1,10085102
10080005,2,10085102
